Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,00032.299680,B3_21,39,0.28264
,,00032.269680,B3_14,25,0.13648
,,00032.292880,B3_33,24,0.16744
,,00032.290640,B3_43,52,0.34224
,,00032.835600,A3_41,8,0.052
,,00032.859200,A3_21,24,0.09256
,,00032.859520,A3_31,12,0.08392
,,00032.805120,A3_11,19,0.14712
,,00032.815040,A3_12,30,0.1432
,,00032.810320,A3_13,49,0.15024
,,00032.843200,A3_23,6,0.08104
,,00032.807920,A3_14,49,0.15112
,,00032.818320,A3_24,50,0.13984
,,00032.814800,A3_34,26,0.1236
,,00032.855120,A3_32,21,0.09016
,,00032.822560,A3_44,45,0.12784
,,00032.820560,A3_43,49,0.15104
,,00032.943520,B6_44,8,0.03
,,00033.591600,C2_14,5,0.01224
,,00033.498960,D3_21,13,0.05952
,,00033.352080,D3_23,8,0.18616
,,00033.496080,D3_33,21,0.07496
,,00033.497280,D3_34,12,0.0776
,,00033.380880,D3_32,8,0.16048
,,00033.268400,D6_44,52,0.20696
,,00033.764400,C2_34,5,0.04504
,,00033.768480,B4_33,8,0.03224
,,00033.765280,B4_34,6,0.01424
,,00033.769120,B4_24,13,0.07064
,,00033.771920,B4_42,5,0.05016
,,00033.767280,B4_43,6,0.01808
,,00033.766960,B4_44,6,0.01472
,,00033.644080,A6_12,29,0.08984
,,00033.644480,A6_11,28,0.08448
,,00033.649360,A6_42,18,0.08904
,,00033.692560,A6_43,10,0.04192
,,00033.648560,A6_32,12,0.06832
,,00033.644480,A6_21,37,0.1024
,,00033.649680,A6_31,26,0.082
,,00033.642480,A6_22,35,0.11296
,,00035.171200,B6_14,5,0.01008
,,00035.168160,B6_33,6,0.01248
,,00035.170800,B6_23,5,0.01208
,,00035.635280,B6_44,5,0.0136
,,00035.777520,B1_33,7,0.01968
,,00036.382640,D3_21,5,0.0168
,,00036.361200,B4_11,5,0.03112
,,00036.351600,B4_33,10,0.04048
,,00036.347920,B4_34,5,0.01216
,,00036.351440,B4_24,12,0.04384
,,00036.352720,B4_42,9,0.03736
,,00036.348400,B4_43,12,0.0424
,,00036.349920,B4_44,5,0.01376
,,00036.401360,D3_32,5,0.01904
,,00036.419360,B5_14,8,0.03968
,,00036.424320,B5_12,6,0.0316
,,00036.412320,B5_13,14,0.05072
,,00036.426160,B5_44,7,0.03176
,,00036.422080,B5_21,18,0.04752
,,00036.432320,B5_41,10,0.0608
,,00036.582320,C2_11,24,0.24136
,,00036.585120,C2_12,19,0.12936
,,00036.586800,C2_14,24,0.13152
,,00036.594400,C2_34,15,0.15296
,,00037.736320,A2_33,5,0.00976
,,00037.737760,A2_34,5,0.01088
,,00037.992160,D5_43,14,0.09064
,,00038.155440,D1_33,5,0.01072
,,00038.157040,D1_24,5,0.0124
,,00038.158080,D1_42,9,0.03984
,,00038.298400,D5_43,9,0.09536
,,00038.436640,B6_14,9,0.0232
,,00038.438000,B6_11,5,0.0124
,,00038.439120,B6_33,9,0.0404
,,00038.435440,B6_23,7,0.02136
,,00038.442800,B6_34,5,0.01408
,,00039.121280,C3_24,31,0.37872
,,00039.967360,B3_21,6,0.01616
,,00039.966400,B3_31,8,0.02376
,,00039.968800,B3_12,7,0.01576
,,00039.963120,B3_23,5,0.02112
,,00039.960080,B3_14,7,0.01784
,,00039.960720,B3_33,7,0.01976
,,00039.960080,B3_24,6,0.01592
,,00039.958800,B3_34,7,0.02256
,,00039.965440,B3_32,7,0.01696
,,00039.958640,B3_43,11,0.02904
,,00039.957200,B3_44,7,0.01832
,,00039.961440,B3_42,7,0.02104
,,00040.252160,B4_34,5,0.0108
,,00040.254640,B4_24,8,0.03976
,,00040.252720,B4_43,5,0.01072
,,00040.731200,D1_21,22,0.1844
,,00040.731200,D1_31,11,0.17896
,,00040.828960,D1_22,18,0.0852
